med_category,decision,itemid,label,abbreviation,linksto,category,unitname,param_type,count,value_instances,amountuom_instances,rateuom_instances,ordercategoryname_instances,secondaryordercategoryname_instances,ordercategorydescription_instances,note
norepinephrine,"TO MAP, AS IS",221906,Norepinephrine,Norepinephrine,inputevents,Medications,mg,Solution,459800,"Rate: 0.0, 0.1, 359.55; Amount: 0.0, 0.42, 42.93",mg: 459800,"mcg/kg/min: 459798, mg/kg/min: 2",01-Drips: 459800,02-Fluids (Crystalloids): 459800,Continuous Med: 459800,
epinephrine,NO MAPPING,221906,Norepinephrine,Norepinephrine,inputevents,Medications,mg,Solution,459800,"Rate: 0.0, 0.1, 359.55; Amount: 0.0, 0.42, 42.93",mg: 459800,"mcg/kg/min: 459798, mg/kg/min: 2",01-Drips: 459800,02-Fluids (Crystalloids): 459800,Continuous Med: 459800,
epinephrine,"TO MAP, AS IS",221289,Epinephrine,Epinephrine,inputevents,Medications,mg,Solution,31495,"Rate: 0.0, 0.05, 41.14; Amount: 0.0, 0.33, 1707.18","mg: 31483, mcg: 12",mcg/kg/min: 31495,01-Drips: 31495,02-Fluids (Crystalloids): 31495,Continuous Med: 31495,
epinephrine,"TO MAP, ELSEWHERE",229617,Epinephrine.,Epinephrine.,inputevents,Medications,mg,Solution,234,"Rate: , , ; Amount: 0.0, 1.0, 800.0",,,05-Med Bolus: 234,,Drug Push: 234,
phenylephrine,"TO MAP, AS IS",221749,Phenylephrine,Phenylephrine,inputevents,Medications,mg,Solution,209376,"Rate: -5.72, 0.92, 880.06; Amount: -0.64, 3.05, 1000.0","mg: 209375, mcg: 1","mcg/kg/min: 209374, mcg/min: 2",01-Drips: 209376,02-Fluids (Crystalloids): 209376,Continuous Med: 209376,
phenylephrine,"TO MAP, AS IS",229630,Phenylephrine (50/250),Phenylephrine (50/250),inputevents,Medications,mg,Solution,61013,"Rate: 0.01, 0.8, 206.6; Amount: 0.0, 2.49, 250.0",mg: 61013,mcg/kg/min: 61013,01-Drips: 61013,02-Fluids (Crystalloids): 61013,Continuous Med: 61013,
phenylephrine,"TO MAP, AS IS",229632,Phenylephrine (200/250),Phenylephrine (200/250),inputevents,Medications,mg,Solution,12840,"Rate: 0.05, 1.8, 518.36; Amount: 0.01, 6.85, 236.16",mg: 12840,mcg/kg/min: 12840,01-Drips: 12840,02-Fluids (Crystalloids): 12840,Continuous Med: 12840,
phenylephrine,NO MAPPING,229789,Phenylephrine (Intubation),Phenylephrine (Intubation),chartevents,Intubation,mcg,Numeric,1,"Min: , Mean: , Max:",,,,,,
phenylephrine,NO MAPPING,229631,Phenylephrine (200/250)_OLD_1,Phenylephrine (200/250)_OLD_1,inputevents,Medications,mg,Solution,1,"Rate: , , ; Amount: , ,",,,,,,
angiotensin,"TO MAP, AS IS",229764,Angiotensin II (Giapreza),Angiotensin II (Giapreza),inputevents,Medications,ng,Solution,296,"Rate: 1.25, 30.02, 83.69; Amount: 0.0, 0.11, 2.5",mg: 296,ng/kg/min: 296,01-Drips: 296,02-Fluids (Crystalloids): 296,Continuous Med: 296,
angiotensin,"TO MAP, AS IS",229709,Angiotensin II (Giapreza),Angiotensin II (Giapreza),inputevents,Medications,mg,Solution,103,"Rate: 0.0, 0.03, 0.41; Amount: 0.0, 0.06, 2.5",mg: 103,mcg/kg/min: 103,01-Drips: 103,02-Fluids (Crystalloids): 103,Continuous Med: 103,
vasopressin,"TO MAP, AS IS",222315,Vasopressin,Vasopressin,inputevents,Medications,units,Solution,37163,"Rate: 0.02, 2.4, 2400.0; Amount: 0.0, 11.69, 400.0",units: 37163,"units/hour: 37160, units/min: 3",01-Drips: 37163,02-Fluids (Crystalloids): 37163,Continuous Med: 37163,
