lab_category,decision,itemid,label,abbreviation,fluid,category,count,value_instances,uom_instances,target_uom,status,note
albumin,"TO MAP, AS IS",50862,Albumin,,Blood,Chemistry,749944,"Max: 36.0, Min: 0.2, Mean: 3.78",{'g/dL': 749944},g/dL,existing mapping validated by K. Smith,
albumin,NO MAPPING,51069,"Albumin, Urine",,Urine,Chemistry,56977,"Max: 2634.0, Min: 0.0, Mean: 24.43",{'mg/dL': 56977},,existing mapping validated by K. Smith,All urine samples are excluded.
albumin,NO MAPPING,51070,"Albumin/Creatinine, Urine",,Urine,Chemistry,54939,"Max: 46518.8, Min: 0.0, Mean: 282.24",{'mg/g': 54931},,existing mapping validated by K. Smith,
albumin,NO MAPPING,50835,"Albumin, Ascites",,Ascites,Chemistry,6012,"Max: 48.0, Min: 0.1, Mean: 1.38",{'g/dL': 6012},,existing mapping validated by K. Smith,
albumin,NO MAPPING,51046,"Albumin, Pleural",,Pleural,Chemistry,4593,"Max: 3800.0, Min: 0.2, Mean: 2.86",{'g/dL': 4593},,existing mapping validated by K. Smith,
albumin,NO MAPPING,51025,"Albumin, Body Fluid",,Other Body Fluid,Chemistry,613,"Max: 5.0, Min: 0.0, Mean: 2.61",{'g/dL': 613},,existing mapping validated by K. Smith,
albumin,NO MAPPING,51897,Surfactant/Albumin,,Other Body Fluid,Chemistry,36,"Max: 126.0, Min: 16.0, Mean: 59.28",{'mg/g': 36},,existing mapping validated by K. Smith,
albumin,NO MAPPING,51776,<Albumin>,,Cerebrospinal Fluid,Chemistry,36,"Max: 643.3, Min: 0.0, Mean: 53.01",{'mg/dL': 36},,existing mapping validated by K. Smith,
albumin,NO MAPPING,51019,"Albumin, Joint Fluid",,Joint Fluid,Chemistry,9,"Max: 3.5, Min: 1.5, Mean: 2.51",{'g/dL': 9},,existing mapping validated by K. Smith,
albumin,NO MAPPING,51927,"Albumin, Stool",,Stool,Chemistry,1,"Max: nan, Min: nan, Mean: nan",{'g/dL': 1},,existing mapping validated by K. Smith,
